State,Year_x,Month_x,Rain,Month_Year,Year_y,Month_y,Flood,Area
Bihar,1901,7,245.9,7/1901,,,,
Bihar,1901,8,319.4,8/1901,,,,
Bihar,1901,9,155.1,9/1901,,,,
Bihar,1901,10,8.3,10/1901,,,,
Bihar,1902,7,361.0,7/1902,,,,
Bihar,1902,8,225.5,8/1902,,,,
Bihar,1902,9,358.7,9/1902,,,,
Bihar,1902,10,28.5,10/1902,,,,
Bihar,1903,7,115.0,7/1903,,,,
Bihar,1903,8,342.6,8/1903,,,,
Bihar,1903,9,173.9,9/1903,,,,
Bihar,1903,10,147.0,10/1903,,,,
Bihar,1904,7,394.4,7/1904,,,,
Bihar,1904,8,351.3,8/1904,,,,
Bihar,1904,9,84.4,9/1904,,,,
Bihar,1904,10,98.1,10/1904,,,,
Bihar,1905,7,409.1,7/1905,,,,
Bihar,1905,8,495.3,8/1905,,,,
Bihar,1905,9,353.9,9/1905,,,,
Bihar,1905,10,11.6,10/1905,,,,
Bihar,1906,7,366.2,7/1906,,,,
Bihar,1906,8,430.1,8/1906,,,,
Bihar,1906,9,118.7,9/1906,,,,
Bihar,1906,10,32.9,10/1906,,,,
Bihar,1907,7,282.4,7/1907,,,,
Bihar,1907,8,242.2,8/1907,,,,
Bihar,1907,9,206.9,9/1907,,,,
Bihar,1907,10,4.8,10/1907,,,,
Bihar,1908,7,202.3,7/1908,,,,
Bihar,1908,8,167.3,8/1908,,,,
Bihar,1908,9,149.9,9/1908,,,,
Bihar,1908,10,25.4,10/1908,,,,
Bihar,1909,7,256.2,7/1909,,,,
Bihar,1909,8,352.4,8/1909,,,,
Bihar,1909,9,175.4,9/1909,,,,
Bihar,1909,10,43.1,10/1909,,,,
Bihar,1910,7,365.1,7/1910,,,,
Bihar,1910,8,328.8,8/1910,,,,
Bihar,1910,9,258.5,9/1910,,,,
Bihar,1910,10,73.8,10/1910,,,,
Bihar,1911,7,199.0,7/1911,,,,
Bihar,1911,8,425.5,8/1911,,,,
Bihar,1911,9,279.1,9/1911,,,,
Bihar,1911,10,122.8,10/1911,,,,
Bihar,1912,7,362.4,7/1912,,,,
